Food Item,Mean Price (₦),Std Dev (₦),CV (%),Min Price (₦),Max Price (₦),Cheapest State (avg),Most Expensive State (avg),Highest Price State,Highest Price Period,Lowest Price State,Lowest Price Period,MoM Trend (%),Total Change (%),Annual Avg Change (%),Most Volatile State
Agric eggs medium size,746.53,551.07,73.8,247.92,3600.65,Borno,Enugu,Gombe,2024M12,Borno,2016M1,1.68,438.8,54.9,Gombe
Agric eggs(medium size price of one),69.25,125.98,181.9,26.31,7421.0,Borno,Lagos,Lagos,2022M1,Ogun,2016M1,1.71,428.4,53.5,Lagos
"Beans brown,sold loose",604.71,601.16,99.4,127.53,3750.0,Yobe,Ebonyi,Bauchi,2024M10,Yobe,2020M3,1.98,620.5,77.6,Bauchi
Beans:white black eye. sold loose,563.4,568.62,100.9,116.45,3199.58,Yobe,Ebonyi,Akwa Ibom,2024M10,Katsina,2016M1,2.05,667.9,83.5,Bauchi
Beef Bone in,1585.56,1092.88,68.9,563.38,6466.67,Taraba,Bayelsa,Akwa Ibom,2024M12,Ondo,2018M1,1.59,379.0,47.4,Osun
"Beef,boneless",1977.77,1285.14,65.0,759.36,7316.2,Borno,Ebonyi,Enugu,2024M12,Taraba,2016M4,1.58,373.6,46.7,Niger
Bread sliced 500g,482.28,350.84,72.7,131.79,1890.0,Yobe,Bayelsa,Akwa Ibom,2024M12,Jigawa,2016M1,1.66,390.6,48.8,Gombe
Bread unsliced 500g,448.34,332.68,74.2,133.33,1823.75,Yobe,Bayelsa,Delta,2024M12,Jigawa,2016M1,1.69,390.4,48.8,Kwara
Broken Rice (Ofada),621.92,537.57,86.4,108.7,3500.0,Kebbi,Lagos,Osun,2024M12,Taraba,2016M3,1.72,495.5,61.9,Osun
Catfish (obokun) fresh,1413.21,931.49,65.9,172.14,5899.23,Anambra,Akwa Ibom,Rivers,2024M7,Anambra,2019M3,1.36,296.2,37.0,Anambra
Catfish :dried,2224.87,1301.63,58.5,313.33,24780.05,Jigawa,Imo,Imo,2018M10,Anambra,2019M8,0.88,153.5,19.2,Anambra
Catfish Smoked,1857.46,876.04,47.2,133.33,7331.05,Jigawa,Enugu,Yobe,2024M8,Jigawa,2019M12,0.76,125.9,15.7,Anambra
Chicken Feet,1064.44,835.97,78.5,151.53,5715.05,Taraba,Anambra,Niger,2024M12,Jigawa,2019M8,1.44,333.2,41.7,Abuja
