Food Item,Cheapest State,Cheapest Avg Price,Most Expensive State,Most Expensive Avg Price,Price Spread (₦),Spread (%)
Irish potato,Borno,310.38,Anambra,2083.13,1772.74,571.1
"Gari white,sold loose",Kwara,296.45,Anambra,1661.76,1365.31,460.5
Evaporated tinned milk carnation 170g,Kogi,232.0,Anambra,1292.24,1060.25,457.0
Tomato,Adamawa,275.95,Anambra,1352.63,1076.69,390.2
Maize grain yellow sold loose,Katsina,231.58,Bayelsa,1008.18,776.6,335.3
Plantain(unripe),Yobe,270.44,Bayelsa,969.68,699.24,258.6
Chicken Feet,Taraba,452.17,Anambra,1573.18,1121.0,247.9
Plantain(ripe),Taraba,286.28,Bayelsa,993.77,707.49,247.1
"Evaporated tinned milk(peak), 170g",Niger,262.85,Anambra,900.41,637.56,242.6
Yam tuber,Borno,248.04,Bayelsa,830.67,582.63,234.9
Chicken Wings,Taraba,762.21,Anambra,2518.28,1756.07,230.4
Mudfish : dried,Jigawa,1068.15,Abia,3385.47,2317.31,216.9
Rice agric sold loose,Kebbi,446.81,Bayelsa,1358.0,911.19,203.9
Rice Medium Grained,Adamawa,466.47,Anambra,1267.47,801.0,171.7
Rice local sold loose,Benue,439.14,Bayelsa,1186.21,747.07,170.1
Onion bulb,Adamawa,251.68,Cross River,667.06,415.39,165.0
Sweet potato,Borno,172.22,Bayelsa,452.19,279.97,162.6
Tilapia fish (epiya) fresh,Taraba,738.06,Edo,1729.31,991.25,134.3
Mudfish (aro) fresh,Anambra,764.95,Edo,1791.3,1026.35,134.2
Agric eggs(medium size price of one),Borno,59.95,Lagos,138.33,78.38,130.7
Catfish :dried,Jigawa,1618.94,Imo,3696.09,2077.15,128.3
Palm oil: 1 bottle,Niger,626.07,Anambra,1403.21,777.13,124.1
Dried Fish Sardine,Jigawa,1155.39,Enugu,2552.74,1397.35,120.9
Catfish (obokun) fresh,Anambra,907.28,Akwa Ibom,1958.77,1051.49,115.9
Mackerel : frozen,Jigawa,869.15,Ebonyi,1822.88,953.73,109.7
Titus:frozen,Anambra,894.98,Abia,1802.67,907.69,101.4
Broken Rice (Ofada),Kebbi,482.65,Lagos,970.15,487.5,101.0
Catfish Smoked,Jigawa,1167.25,Enugu,2345.01,1177.75,100.9
Maize grain white sold loose,Katsina,236.08,Bayelsa,459.47,223.39,94.6
"Beans brown,sold loose",Yobe,448.48,Ebonyi,841.99,393.51,87.7
Iced Sardine,Jigawa,934.99,Imo,1722.76,787.78,84.3
Beans:white black eye. sold loose,Yobe,433.22,Ebonyi,782.7,349.48,80.7
Wheat flour: prepacked (golden penny 2kg),Anambra,721.41,Abuja,1273.73,552.32,76.6
Bread unsliced 500g,Yobe,346.27,Bayelsa,607.55,261.28,75.5
Groundnut oil: 1 bottle,Jigawa,717.62,Ebonyi,1242.12,524.49,73.1
Bread sliced 500g,Yobe,365.42,Bayelsa,627.32,261.9,71.7
"Gari yellow,sold loose",Anambra,322.16,Bayelsa,549.5,227.35,70.6
Vegetable oil:1 bottle,Jigawa,641.67,Ekiti,1087.48,445.81,69.5
Frozen chicken,Taraba,1817.66,Enugu,2987.99,1170.33,64.4
"Rice,imported high quality sold loose",Borno,583.92,Bayelsa,824.96,241.04,41.3
Beef Bone in,Taraba,1350.27,Bayelsa,1893.26,542.98,40.2
"Beef,boneless",Borno,1685.29,Ebonyi,2311.06,625.77,37.1
Agric eggs medium size,Borno,644.42,Enugu,824.9,180.48,28.0
