Food Item,Mean Price,Std Dev,CV (%),Most Volatile State,Max State CV (%)
Agric eggs(medium size price of one),69.25,125.98,181.9,Lagos,512.6
Irish potato,534.7,608.65,113.8,Kogi,153.3
"Gari white,sold loose",379.74,404.1,106.4,Gombe,100.9
Yam tuber,446.42,473.26,106.0,Kwara,157.5
Maize grain yellow sold loose,365.6,385.31,105.4,Kwara,137.1
Evaporated tinned milk carnation 170g,286.08,298.35,104.3,Gombe,111.5
Sweet potato,259.26,267.86,103.3,Cross River,137.8
Beans:white black eye. sold loose,563.4,568.62,100.9,Bauchi,128.2
Tomato,476.13,473.52,99.5,Nassarawa,131.0
"Beans brown,sold loose",604.71,601.16,99.4,Bauchi,136.1
Plantain(unripe),416.99,414.24,99.3,Cross River,128.2
Onion bulb,406.3,395.86,97.4,Adamawa,132.1
Plantain(ripe),426.09,410.97,96.5,Kwara,127.9
"Evaporated tinned milk(peak), 170g",337.88,298.67,88.4,Kwara,123.0
Rice local sold loose,566.44,499.66,88.2,Kogi,112.1
Maize grain white sold loose,308.97,269.37,87.2,Taraba,116.9
Broken Rice (Ofada),621.92,537.57,86.4,Osun,109.4
Rice agric sold loose,601.2,505.17,84.0,Nassarawa,108.5
Rice Medium Grained,603.85,504.11,83.5,Kogi,124.9
"Rice,imported high quality sold loose",683.98,551.68,80.7,Kwara,107.1
Chicken Feet,1064.44,835.97,78.5,Abuja,115.0
Wheat flour: prepacked (golden penny 2kg),1065.09,828.33,77.8,Anambra,121.5
"Gari yellow,sold loose",377.84,287.65,76.1,Anambra,96.4
Groundnut oil: 1 bottle,932.33,707.59,75.9,Jigawa,95.2
Vegetable oil:1 bottle,891.03,675.49,75.8,Bayelsa,101.5
Tilapia fish (epiya) fresh,1220.03,924.6,75.8,Bayelsa,107.7
Bread unsliced 500g,448.34,332.68,74.2,Kwara,87.6
Chicken Wings,1412.88,1045.17,74.0,Niger,107.7
Agric eggs medium size,746.53,551.07,73.8,Gombe,93.2
Bread sliced 500g,482.28,350.84,72.7,Gombe,86.0
Titus:frozen,1416.35,1021.4,72.1,Anambra,132.0
Mackerel : frozen,1359.63,940.03,69.1,Anambra,119.5
Beef Bone in,1585.56,1092.88,68.9,Osun,88.3
Palm oil: 1 bottle,796.91,547.78,68.7,Ogun,80.9
Catfish (obokun) fresh,1413.21,931.49,65.9,Anambra,116.0
"Beef,boneless",1977.77,1285.14,65.0,Niger,77.0
Mudfish (aro) fresh,1383.88,880.2,63.6,Anambra,119.3
Iced Sardine,1308.93,823.31,62.9,Jigawa,91.6
Catfish :dried,2224.87,1301.63,58.5,Anambra,121.8
Frozen chicken,2296.0,1296.77,56.5,Anambra,80.8
Dried Fish Sardine,1799.32,1006.72,56.0,Anambra,126.6
Mudfish : dried,2198.4,1163.35,52.9,Jigawa,92.3
Catfish Smoked,1857.46,876.04,47.2,Anambra,91.1
